date,Nation,Protest
2020/1/5,England,4
2020/1/12,England,5
2020/1/19,England,6
2020/1/26,England,5
2020/2/2,England,4
2020/2/9,England,5
2020/2/16,England,4
2020/2/23,England,6
2020/3/1,England,4
2020/3/8,England,4
2020/3/15,England,2
2020/3/22,England,2
2020/3/29,England,2
2020/4/5,England,2
2020/4/12,England,5
2020/4/19,England,7
2020/4/26,England,5
2020/5/3,England,4
2020/5/10,England,9
2020/5/17,England,6
2020/5/24,England,9
2020/5/31,England,100
2020/6/7,England,73
2020/6/14,England,21
2020/6/21,England,8
2020/6/28,England,9
2020/7/5,England,7
2020/7/12,England,6
2020/7/19,England,6
2020/7/26,England,5
2020/8/2,England,8
2020/8/9,England,6
2020/8/16,England,7
2020/8/23,England,14
2020/8/30,England,13
2020/9/6,England,7
2020/9/13,England,8
2020/9/20,England,9
2020/9/27,England,7
2020/10/4,England,5
2020/10/11,England,7
2020/10/18,England,10
2020/10/25,England,9
2020/11/1,England,9
2020/11/8,England,8
2020/11/15,England,6
2020/11/22,England,7
2020/11/29,England,7
2020/12/6,England,12
2020/12/13,England,6
2020/12/20,England,6
2020/12/27,England,5
2021/1/3,England,12
2021/1/10,England,9
2021/1/17,England,6
2021/1/24,England,10
2021/1/31,England,10
2021/2/7,England,7
2021/2/14,England,4
2021/2/21,England,5
2021/2/28,England,4
2021/3/7,England,6
2021/3/14,England,25
2021/3/21,England,30
2021/3/28,England,16
2021/4/4,England,7
2021/4/11,England,5
2021/4/18,England,15
2021/4/25,England,14
2021/5/2,England,11
2021/5/9,England,18
2021/5/16,England,17
2021/5/23,England,12
2021/5/30,England,7
2021/6/6,England,6
2021/6/13,England,6
2021/6/20,England,9
2021/6/27,England,12
2021/7/4,England,3
2020/1/5,Northern Ireland,2
2020/1/12,Northern Ireland,9
2020/1/19,Northern Ireland,2
2020/1/26,Northern Ireland,7
2020/2/2,Northern Ireland,7
2020/2/9,Northern Ireland,5
2020/2/16,Northern Ireland,4
2020/2/23,Northern Ireland,4
2020/3/1,Northern Ireland,7
2020/3/8,Northern Ireland,11
2020/3/15,Northern Ireland,6
2020/3/22,Northern Ireland,4
2020/3/29,Northern Ireland,4
2020/4/5,Northern Ireland,2
2020/4/12,Northern Ireland,8
2020/4/19,Northern Ireland,4
2020/4/26,Northern Ireland,9
2020/5/3,Northern Ireland,0
2020/5/10,Northern Ireland,21
2020/5/17,Northern Ireland,6
2020/5/24,Northern Ireland,4
2020/5/31,Northern Ireland,100
2020/6/7,Northern Ireland,24
2020/6/14,Northern Ireland,12
2020/6/21,Northern Ireland,8
2020/6/28,Northern Ireland,4
2020/7/5,Northern Ireland,4
2020/7/12,Northern Ireland,7
