date,Nation,Temperature_Avg
2020/1/5,England,48.91
2020/1/12,England,46.59
2020/1/19,England,46.59
2020/1/26,England,42.04
2020/2/2,England,46.2
2020/2/9,England,47.64
2020/2/16,England,47.45
2020/2/23,England,45.08
2020/3/1,England,44.38
2020/3/8,England,49.61
2020/3/15,England,47.53
2020/3/22,England,45.47
2020/3/29,England,46.02
2020/4/5,England,58.5
2020/4/12,England,52.55
2020/4/19,England,56.04
2020/4/26,England,52.13
2020/5/3,England,57.38
2020/5/10,England,51.5
2020/5/17,England,64.46
2020/5/24,England,64.2
2020/5/31,England,60.26
2020/6/7,England,58.71
2020/6/14,England,63.31
2020/6/21,England,69.48
2020/6/28,England,61.64
2020/7/5,England,62.03
2020/7/12,England,66.26
2020/7/19,England,65.66
2020/7/26,England,67.56
2020/8/2,England,70.4
2020/8/9,England,74.67
2020/8/16,England,67.53
2020/8/23,England,61.25
2020/8/30,England,59.27
2020/9/6,England,61.72
2020/9/13,England,66.17
2020/9/20,England,58.71
2020/9/27,England,56.46
2020/10/4,England,53.18
2020/10/11,England,50.73
2020/10/18,England,55.68
2020/10/25,England,52.76
2020/11/1,England,49.24
2020/11/8,England,54.18
2020/11/15,England,51.24
2020/11/22,England,47.54
2020/11/29,England,43
2020/12/6,England,41.5
2020/12/13,England,49.16
2020/12/20,England,47.26
2020/12/27,England,37.09
2021/1/3,England,36
2021/1/10,England,41
2021/1/17,England,42.11
2021/1/24,England,41.86
2021/1/31,England,43.78
2021/2/7,England,32.44
2021/2/14,England,49.12
2021/2/21,England,49.51
2021/2/28,England,41.58
2021/3/7,England,44.39
2021/3/14,England,47.7
2021/3/21,England,47.98
2021/3/28,England,52.06
2021/4/4,England,44.4
2021/4/11,England,44
2021/4/18,England,49.98
2021/4/25,England,47.82
2021/5/2,England,49.08
2021/5/9,England,54.7
2021/5/16,England,52.53
2021/5/23,England,54.73
2021/5/30,England,63.24
2021/6/6,England,66.79
2021/6/13,England,66.4
2021/6/20,England,60.4
2021/6/27,England,63.59
2020/1/5,Northern Ireland,45.77
2020/1/12,Northern Ireland,40.35
2020/1/19,Northern Ireland,43.44
2020/1/26,Northern Ireland,44.05
2020/2/2,Northern Ireland,43.71
2020/2/9,Northern Ireland,43.01
2020/2/16,Northern Ireland,43.07
2020/2/23,Northern Ireland,40.98
2020/3/1,Northern Ireland,41.3
2020/3/8,Northern Ireland,44.96
2020/3/15,Northern Ireland,42.97
2020/3/22,Northern Ireland,44.89
2020/3/29,Northern Ireland,44.14
2020/4/5,Northern Ireland,50.88
2020/4/12,Northern Ireland,46.02
2020/4/19,Northern Ireland,48.86
2020/4/26,Northern Ireland,46.52
2020/5/3,Northern Ireland,51.83
2020/5/10,Northern Ireland,46.08
2020/5/17,Northern Ireland,56.09
2020/5/24,Northern Ireland,58.15
2020/5/31,Northern Ireland,54.64
2020/6/7,Northern Ireland,53.18
2020/6/14,Northern Ireland,57.96
2020/6/21,Northern Ireland,60.7
2020/6/28,Northern Ireland,56.6
2020/7/5,Northern Ireland,54.96
2020/7/12,Northern Ireland,59.62
2020/7/19,Northern Ireland,58.18
2020/7/26,Northern Ireland,59.67
2020/8/2,Northern Ireland,60.51
2020/8/9,Northern Ireland,60.91
2020/8/16,Northern Ireland,60.42
2020/8/23,Northern Ireland,55.92
2020/8/30,Northern Ireland,56.71
2020/9/6,Northern Ireland,57.98
2020/9/13,Northern Ireland,59.2
2020/9/20,Northern Ireland,49.83
2020/9/27,Northern Ireland,49.32
2020/10/4,Northern Ireland,49.72
2020/10/11,Northern Ireland,49.02
2020/10/18,Northern Ireland,50.13
2020/10/25,Northern Ireland,49.26
2020/11/1,Northern Ireland,46.52
2020/11/8,Northern Ireland,56.09
2020/11/15,Northern Ireland,48.82
2020/11/22,Northern Ireland,42.76
2020/11/29,Northern Ireland,40.58
2020/12/6,Northern Ireland,39.09
2020/12/13,Northern Ireland,47.08
2020/12/20,Northern Ireland,40.93
